epoch,train_loss,train_acc,val_loss,val_acc
0,0.5901089897155761,0.8615,0.1845435791015625,0.985
1,0.2368284378051758,0.946,0.08824573516845703,0.99
2,0.18398876857757568,0.952,0.06928969025611878,0.992
3,0.1486045108437538,0.964,0.05713672935962677,0.99
4,0.1354175602197647,0.962,0.04728142309188843,0.991
5,0.1310275330543518,0.9575,0.046479360699653624,0.994
6,0.12770927393436432,0.959,0.03775550925731659,0.994
7,0.12099137538671494,0.964,0.03444452905654907,0.991
8,0.10262411499023437,0.967,0.042345589518547055,0.991
9,0.09471092832088471,0.972,0.03680226790904999,0.991
10,0.10905483746528626,0.966,0.03561055111885071,0.989
11,0.11948376995325088,0.961,0.033807245612144474,0.991
12,0.10056208193302155,0.971,0.0317000458240509,0.991
13,0.09298898947238922,0.972,0.03189410984516144,0.992
14,0.10661680471897125,0.9645,0.023386403918266296,0.997
15,0.09051003962755204,0.9685,0.024940797686576845,0.994
16,0.07874303817749023,0.979,0.023392959952354433,0.994
17,0.08668409115076064,0.973,0.027031360268592833,0.993
18,0.07891933041810989,0.9775,0.033072065353393555,0.989
19,0.08975147819519043,0.972,0.027057719469070436,0.992
20,0.07285634696483612,0.9755,0.021767571330070495,0.996
21,0.07500772565603256,0.977,0.017189242243766785,0.996
22,0.06343231242895127,0.979,0.013242774605751038,0.996
23,0.03777066969871521,0.9895,0.016646446585655214,0.997
24,0.041387366771698,0.9875,0.013668635368347167,0.997
25,0.04105804872512817,0.987,0.012919595718383789,0.997
26,0.05189686208963394,0.9825,0.012055604577064514,0.997
27,0.03701136553287506,0.989,0.011958857297897339,0.995
28,0.02532969379425049,0.99,0.009531917333602905,0.997
29,0.029894277572631835,0.9905,0.009704058527946473,0.997
30,0.03197692334651947,0.9905,0.011118940353393555,0.996
31,0.030184801816940308,0.9885,0.012375992059707642,0.996
32,0.02663291001319885,0.99,0.006739923357963562,0.998
33,0.023461317002773284,0.9925,0.00840815019607544,0.998
34,0.023998757362365723,0.994,0.015560343742370605,0.994
35,0.025609611451625824,0.992,0.006491243958473205,0.998
36,0.01657765132188797,0.996,0.007606387734413147,0.997
37,0.01352615749835968,0.997,0.005694622397422791,0.999
38,0.01837189394235611,0.996,0.008651784777641296,0.994
39,0.022504185557365417,0.9925,0.009662429928779602,0.996
40,0.014283177435398102,0.9955,0.0070420286655426025,0.998
41,0.009619145870208741,0.998,0.005697064757347107,0.999
42,0.015453972935676574,0.9965,0.006694921970367432,0.999
43,0.011738015413284302,0.998,0.0037693610191345214,0.999
44,0.012763179123401643,0.9965,0.005721338748931885,0.999
