epoch,train_loss,train_acc,val_loss,val_acc
0,0.5901089897155761,0.8615,0.1845435791015625,0.985
1,0.2368284378051758,0.946,0.08824573516845703,0.99
2,0.18398876857757568,0.952,0.06928969025611878,0.992
3,0.1486045108437538,0.964,0.05713672935962677,0.99
4,0.1354175602197647,0.962,0.04728142309188843,0.991
5,0.1310275330543518,0.9575,0.046479360699653624,0.994
6,0.12770927393436432,0.959,0.03775550925731659,0.994
7,0.12099137538671494,0.964,0.03444452905654907,0.991
8,0.10262411499023437,0.967,0.042345589518547055,0.991
9,0.09471092832088471,0.972,0.03680226790904999,0.991
10,0.10905483746528626,0.966,0.03561055111885071,0.989
11,0.11948376995325088,0.961,0.033807245612144474,0.991
12,0.10056208193302155,0.971,0.0317000458240509,0.991
13,0.09298898947238922,0.972,0.03189410984516144,0.992
14,0.10661680471897125,0.9645,0.023386403918266296,0.997
15,0.09051003962755204,0.9685,0.024940797686576845,0.994
16,0.07874303817749023,0.979,0.023392959952354433,0.994
17,0.08668409115076064,0.973,0.027031360268592833,0.993
18,0.07891933041810989,0.9775,0.033072065353393555,0.989
19,0.08975147819519043,0.972,0.027057719469070436,0.992
